,X,Y,FID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,OWNER,TTL_STAFF,BEDS,TRAUMA,HELIPAD
233,-9044599.2332,5038344.9279,235,14244266,UH PORTAGE - ROBINSON MEMORIAL HOSPITAL,6847 N CHESTNUT,RAVENNA,OH,44266,NOT AVAILABLE,(330) 297-2300,GENERAL ACUTE CARE,OPEN,302,PORTAGE,39133,USA,41.1760577540001,-81.2490172989999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/03/12 00:00:00,http://www.uhhospitals.org/portage,1255,UNIVERSITY HOSPITALS PORTAGE MEDICAL CENTER,39,NON-PROFIT,-999,302,LEVEL III,Y
244,-9371532.4782,4828939.8116,246,17545409,MIAMI VALLEY HOSPITAL,ONE WYOMING STREET,DAYTON,OH,45409,NOT AVAILABLE,(937) 208-8000,GENERAL ACUTE CARE,OPEN,883,MONTGOMERY,39113,USA,39.744893204,-84.185908608,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/03/12 00:00:00,http://www.miamivalleyhospital.org,1247,NOT AVAILABLE,39,NON-PROFIT,-999,883,LEVEL I,Y
257,-8992071.7936,5046460.9873,259,14044481,ST JOSEPH HEALTH CENTER,667 EASTLAND AVE SE,WARREN,OH,44481,NOT AVAILABLE,(330) 841-4000,GENERAL ACUTE CARE,OPEN,219,TRUMBULL,39155,USA,41.2309117450001,-80.777155281,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/02/10 00:00:00,http://www.hmpartners.org,1000,NOT AVAILABLE,39,NON-PROFIT,-999,219,LEVEL III,Y
258,-8994478.8524,5047192.8499,260,2944482,TRUMBULL MEMORIAL HOSPITAL,1350 EAST MARKET STREET,WARREN,OH,44482,NOT AVAILABLE,(330) 841-9011,GENERAL ACUTE CARE,OPEN,346,TRUMBULL,39155,USA,41.235855923,-80.798778258,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/02/04 00:00:00,http://www.valleycarehealth.net,1283,NOT AVAILABLE,39,PROPRIETARY,-999,346,LEVEL III,Y
266,-9070019.9485,5031852.7914,268,9344221,EDWIN SHAW REHABILITATION INSTITUTE,330 BROADWAY EAST,CUYAHOGA FALLS,OH,44221,NOT AVAILABLE,(330) 436-0910,REHABILITATION,CLOSED,139,SUMMIT,39153,USA,41.1321462700001,-81.47737547,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2018/08/10 00:00:00,IMAGERY,2014/01/31 00:00:00,http://www.edwinshaw.com,1320,NOT AVAILABLE,39,NON-PROFIT,-999,139,NOT AVAILABLE,N
679,-8987096.5716,5049398.406,681,123344484,STEWARD HILLSIDE REHABILITATION HOSPITAL,8747 SQUIRES LANE NE,WARREN,OH,44484,NOT AVAILABLE,(330) 841-3720,REHABILITATION,OPEN,69,TRUMBULL,39155,USA,41.250753537,-80.732462101,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2015/03/10 00:00:00,http://www.valleycareofohio.net/locations/hillside-rehabilitation-hospital,1321,NOT AVAILABLE,39,PROPRIETARY,-999,69,NOT AVAILABLE,N
680,-8978852.7269,5029161.4829,682,125744501,SELECT SPECIALTY HOSPITAL - YOUNGSTOWN,1044 BELMONT AVE,YOUNGSTOWN,OH,44501,NOT AVAILABLE,(330) 480-6664,LONG TERM CARE,OPEN,31,MAHONING,39099,USA,41.1139341860001,-80.658406384,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2015/03/11 00:00:00,http://youngstown.selectspecialtyhospitals.com/,1432,NOT AVAILABLE,39,PROPRIETARY,-999,31,NOT AVAILABLE,Y
681,-9404155.5832,4994275.0515,683,125045863,RIDGEVIEW HOSPITAL,17872 LINCOLN HIGHWAY,MIDDLE POINT,OH,45863,NOT AVAILABLE,(419) 968-2950,PSYCHIATRIC,OPEN,86,VAN WERT,39161,USA,40.8774005160001,-84.478966946,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY/OTHER,2015/03/11 00:00:00,http://ridgeviewhospital.net/,1505,NOT AVAILABLE,39,PROPRIETARY,-999,86,NOT AVAILABLE,N
1098,-9141048.2967,4768757.4422,1101,12545701,O'BLENESS MEMORIAL HOSPITAL,55 HOSPITAL DRIVE,ATHENS,OH,45701,NOT AVAILABLE,(740) 592-9354,GENERAL ACUTE CARE,OPEN,132,ATHENS,39009,USA,39.327952657,-82.1154339779999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/03/12 00:00:00,https://www.ohiohealth.com/obleness/,1109,NOT AVAILABLE,39,NON-PROFIT,-999,132,NOT AVAILABLE,Y
1101,-9433384.7434,4795364.8262,1104,1345056,MCCULLOUGH-HYDE MEMORIAL HOSPITAL,110 NORTH POPLAR STREET,OXFORD,OH,45056,NOT AVAILABLE,(513) 523-2111,GENERAL ACUTE CARE,OPEN,70,BUTLER,39017,USA,39.5125961590001,-84.74153696,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://publicapps.odh.ohio.gov/eid/provider_search.aspx,2020/04/27 00:00:00,IMAGERY,2014/03/12 00:00:00,http://www.mhmh.org,1119,NOT AVAILABLE,39,NON-PROFIT,-999,70,NOT AVAILABLE,Y
